DatTim	Press	NevCT4
01.08.2017 00:00	995.071	1378.4
01.08.2017 01:00	995.379	1376.55
01.08.2017 02:00	995.315	1378.08
01.08.2017 03:00	995.754	1377.5
01.08.2017 04:00	995.792	1377.35
01.08.2017 05:00	995.622	1379.13
01.08.2017 06:00	996.014	1377.81
01.08.2017 07:00	996.302	1376.48
01.08.2017 08:00	996.43	1371.27
01.08.2017 09:00	996.679	1368.49
01.08.2017 10:00	997.025	1366.9
01.08.2017 11:00	997.188	1366.82
01.08.2017 12:00	997.322	1364.69
01.08.2017 13:00	997.642	1365.82
01.08.2017 14:00	997.896	1366.19
01.08.2017 15:00	998.315	1365.71
01.08.2017 16:00	998.656	1366.31
01.08.2017 17:00	999.136	1364.77
01.08.2017 18:00	999.443	1364.52
01.08.2017 19:00	999.67	1364.43
01.08.2017 20:00	999.891	1363.28
01.08.2017 21:00	1000.09	1361.27
01.08.2017 22:00	1000.3	1359.94
01.08.2017 23:00	1000.67	1358.21
02.08.2017 00:00	1000.85	1358.23
02.08.2017 01:00	1000.9	1361.64
02.08.2017 02:00	1001.14	1361.84
02.08.2017 03:00	1001.2	1363.62
02.08.2017 04:00	1001.02	1364.74
02.08.2017 05:00	1001.26	1363.94
02.08.2017 06:00	1000.86	1366.29
02.08.2017 07:00	1000.98	1365.5
02.08.2017 08:00	1000.8	1365.47
02.08.2017 09:00	1000.06	1366.26
02.08.2017 10:00	999.499	1367.48
02.08.2017 11:00	999.151	1367.03
02.08.2017 12:00	998.41	1367.58
02.08.2017 13:00	997.51	1369.04
02.08.2017 14:00	996.448	1370.61
02.08.2017 15:00	996.228	1370.25
02.08.2017 16:00	995.44	1372.52
02.08.2017 17:00	995.056	1372.54
02.08.2017 18:00	994.27	1375.61
02.08.2017 19:00	993.973	1376.12
02.08.2017 20:00	993.459	1379.3
02.08.2017 21:00	993.802	1379.23
02.08.2017 22:00	992.981	1380.73
02.08.2017 23:00	992.216	1383.33
03.08.2017 00:00	992.271	1383.62
03.08.2017 01:00	991.956	1387.43
03.08.2017 02:00	991.986	1387.98
03.08.2017 03:00	992.348	1386.3
03.08.2017 04:00	992.217	1388.68
03.08.2017 05:00	992.366	1389.9
03.08.2017 06:00	992.505	1391.47
03.08.2017 07:00	992.78	1391.48
03.08.2017 08:00	992.597	1389.62
03.08.2017 09:00	992.466	1389.22
03.08.2017 10:00	992.353	1388.09
03.08.2017 11:00	992.334	1386.86
03.08.2017 12:00	992.114	1386.8
03.08.2017 13:00	991.481	1385.76
03.08.2017 14:00	991.354	1384.92
03.08.2017 15:00	991.25	1384.05
03.08.2017 16:00	991.347	1383.88
03.08.2017 17:00	991.732	1383.2
03.08.2017 18:00	992.005	1382.26
03.08.2017 19:00	992.011	1382.9
03.08.2017 20:00	992.179	1379.88
03.08.2017 21:00	992.205	1382.46
03.08.2017 22:00	992.246	1383.35
03.08.2017 23:00	992.167	1382.9
04.08.2017 00:00	991.995	1385.93
04.08.2017 01:00	991.604	1385.2
04.08.2017 02:00	991.358	1384.79
04.08.2017 03:00	991.283	1385.44
04.08.2017 04:00	991.243	1386.41
04.08.2017 05:00	991.324	1383.9
04.08.2017 06:00	991.094	1385.8
04.08.2017 07:00	990.438	1386.5
04.08.2017 08:00	990.125	1385.74
04.08.2017 09:00	989.588	1388.67
04.08.2017 10:00	989.46	1388.7
04.08.2017 11:00	988.77	1389.92
04.08.2017 12:00	988.015	1391.94
04.08.2017 13:00	987.327	1391.89
04.08.2017 14:00	986.653	1393.28
04.08.2017 15:00	986.399	1392.47
04.08.2017 16:00	986.102	1393.32
04.08.2017 17:00	986.143	1393.39
04.08.2017 18:00	985.82	1394.91
04.08.2017 19:00	985.527	1395.91
04.08.2017 20:00	985.089	1397.09
04.08.2017 21:00	984.862	1396.95
04.08.2017 22:00	984.684	1398.58
04.08.2017 23:00	984.775	1399.05
05.08.2017 00:00	984.687	1399.81
05.08.2017 01:00	984.969	1399.24
05.08.2017 02:00	985.472	1399.36
05.08.2017 03:00	985.903	1397.59
05.08.2017 04:00	986.268	1397.26
05.08.2017 05:00	986.368	1399.71
05.08.2017 06:00	986.532	1398.26
05.08.2017 07:00	986.926	1398.54
05.08.2017 08:00	987.129	1400.04
05.08.2017 09:00	987.085	1401.18
05.08.2017 10:00	987.155	1401.96
05.08.2017 11:00	987.079	1400.08
05.08.2017 12:00	987.543	1395.71
05.08.2017 13:00	987.302	1394.46
05.08.2017 14:00	987.174	1392.78
05.08.2017 15:00	987.398	1392.79
05.08.2017 16:00	987.83	1390.19
05.08.2017 17:00	988.271	1389.31
05.08.2017 18:00	988.734	1386.18
05.08.2017 19:00	989.359	1386.46
05.08.2017 20:00	989.712	1387.69
05.08.2017 21:00	990.028	1384.98
05.08.2017 22:00	990.438	1384.38
05.08.2017 23:00	991.02	1382.74
06.08.2017 00:00	991.362	1381.39
06.08.2017 01:00	991.63	1380.78
06.08.2017 02:00	992.114	1381.14
06.08.2017 03:00	992.588	1380.37
06.08.2017 04:00	993.081	1380.19
06.08.2017 05:00	993.41	1380.22
06.08.2017 06:00	993.553	1382.7
06.08.2017 07:00	993.835	1382.13
06.08.2017 08:00	994.22	1382.21
06.08.2017 11:00	994.831	1381.4
06.08.2017 12:00	995.114	1379.04
06.08.2017 13:00	995.339	1378.49
06.08.2017 14:00	995.384	1376.8
06.08.2017 15:00	995.483	1375.39
06.08.2017 16:00	995.519	1374.77
06.08.2017 17:00	995.503	1376.52
06.08.2017 18:00	995.554	1377.46
06.08.2017 19:00	995.629	1376.1
06.08.2017 20:00	995.532	1375.73
06.08.2017 21:00	995.466	1375.16
06.08.2017 22:00	995.199	1376.36
06.08.2017 23:00	995.202	1376.65
07.08.2017 00:00	995.525	1376.51
07.08.2017 01:00	994.724	1378.47
07.08.2017 02:00	994.771	1378.97
07.08.2017 03:00	994.795	1379.16
07.08.2017 04:00	994.913	1379.02
07.08.2017 05:00	995.037	1378.34
07.08.2017 06:00	995.331	1376.77
07.08.2017 07:00	995.479	1376.97
07.08.2017 08:00	995.609	1377.43
07.08.2017 10:00	995.806	1376.7
07.08.2017 11:00	995.963	1377.96
07.08.2017 12:00	996.131	1376.97
07.08.2017 13:00	996.391	1374.25
07.08.2017 14:00	996.496	1372.28
07.08.2017 15:00	996.596	1371.97
07.08.2017 16:00	996.832	1371.99
07.08.2017 17:00	997.185	1372.5
07.08.2017 18:00	997.414	1370.69
07.08.2017 19:00	997.685	1370.26
07.08.2017 20:00	998.275	1370.67
07.08.2017 21:00	998.545	1370.08
07.08.2017 22:00	998.845	1370.23
07.08.2017 23:00	999.071	1369.89
08.08.2017 00:00	999.065	1369.55
08.08.2017 01:00	999.077	1368.49
08.08.2017 02:00	999.531	1367.51
08.08.2017 03:00	999.888	1365.29
08.08.2017 04:00	1000.09	1365.26
08.08.2017 05:00	1000.19	1364.9
08.08.2017 06:00	1000.36	1366.69
08.08.2017 07:00	1000.71	1363.73
08.08.2017 08:00	1000.77	1365.87
08.08.2017 09:00	1000.83	1366.38
08.08.2017 11:00	1000.99	1365.33
08.08.2017 12:00	1001.13	1364.75
08.08.2017 13:00	1001.45	1361.72
08.08.2017 14:00	1001.77	1360.31
08.08.2017 15:00	1001.92	1358.81
08.08.2017 16:00	1002.22	1358.58
08.08.2017 17:00	1002.69	1357.22
08.08.2017 18:00	1003.26	1355.97
08.08.2017 19:00	1003.72	1355.74
08.08.2017 20:00	1004.18	1354.15
08.08.2017 21:00	1004.58	1352.11
08.08.2017 22:00	1004.83	1350.7
08.08.2017 23:00	1005.17	1349.68
09.08.2017 00:00	1005.55	1349.23
09.08.2017 01:00	1005.96	1349.18
09.08.2017 02:00	1006.36	1346.92
09.08.2017 03:00	1006.62	1347.7
09.08.2017 04:00	1006.94	1346.27
09.08.2017 05:00	1007.13	1347.54
09.08.2017 06:00	1007.28	1349.25
09.08.2017 07:00	1007.34	1349.21
09.08.2017 08:00	1007.36	1351.23
09.08.2017 09:00	1007.29	1352.24
09.08.2017 10:00	1007.29	1351.37
09.08.2017 11:00	1006.95	1355.1
09.08.2017 12:00	1006.74	1353.5
09.08.2017 13:00	1006.47	1352.5
09.08.2017 14:00	1006.34	1353.16
09.08.2017 15:00	1006.22	1350.87
09.08.2017 16:00	1006.11	1350.45
09.08.2017 17:00	1006.24	1350.1
09.08.2017 18:00	1006.55	1348.43
09.08.2017 19:00	1006.78	1346.35
09.08.2017 20:00	1006.9	1347.95
09.08.2017 21:00	1006.94	1346.58
09.08.2017 22:00	1007.18	1345.41
09.08.2017 23:00	1007.3	1346.27
10.08.2017 00:00	1007.34	1346.27
10.08.2017 01:00	1007.27	1348.17
10.08.2017 02:00	1007.42	1348.02
10.08.2017 03:00	1007.46	1348.48
10.08.2017 04:00	1007.29	1348.83
10.08.2017 05:00	1006.85	1350.73
10.08.2017 06:00	1006.57	1352.87
10.08.2017 07:00	1006.19	1355.58
10.08.2017 08:00	1005.58	1359.67
10.08.2017 09:00	1004.9	1363.91
10.08.2017 10:00	1004.35	1366.14
10.08.2017 11:00	1004.23	1366.2
10.08.2017 12:00	1003.47	1367.05
10.08.2017 13:00	1002.96	1366.33
10.08.2017 14:00	1002.39	1364.92
10.08.2017 15:00	1001.58	1365.71
10.08.2017 16:00	1000.95	1367.12
10.08.2017 17:00	1000.29	1367.38
10.08.2017 18:00	1000.69	1366.45
10.08.2017 19:00	1000.46	1367.5
10.08.2017 20:00	1000.06	1366.54
10.08.2017 21:00	1000.18	1366.13
10.08.2017 22:00	999.806	1367.49
10.08.2017 23:00	999.453	1368.47
11.08.2017 00:00	998.884	1370.36
11.08.2017 01:00	998.207	1371.93
11.08.2017 02:00	997.548	1372.22
