DatTim	Press	NevCT1
01.10.2017 00:00	1008.89	1421.8
01.10.2017 01:00	1009.08	1420.29
01.10.2017 02:00	1009.47	1418.89
01.10.2017 03:00	1009.85	1417.81
01.10.2017 04:00	1010.23	1416.19
01.10.2017 05:00	1010.5	1415.74
01.10.2017 06:00	1010.87	1414.98
01.10.2017 07:00	1011.22	1415.44
01.10.2017 08:00	1011.32	1412.79
01.10.2017 09:00	1011.47	1412.91
01.10.2017 10:00	1011.56	1411.88
01.10.2017 11:00	1011.55	1410.95
01.10.2017 12:00	1011.71	1409.28
01.10.2017 13:00	1011.83	1408.56
01.10.2017 14:00	1012.05	1407.98
01.10.2017 15:00	1012.23	1409.16
01.10.2017 16:00	1012.32	1407.82
01.10.2017 17:00	1012.39	1407.77
01.10.2017 18:00	1012.31	1407.56
01.10.2017 19:00	1012.36	1406.78
01.10.2017 20:00	1012.53	1406.16
01.10.2017 21:00	1012.51	1404.75
01.10.2017 22:00	1012.69	1404.15
01.10.2017 23:00	1012.77	1403.63
02.10.2017 00:00	1012.73	1402.3
02.10.2017 01:00	1012.59	1402.14
02.10.2017 02:00	1012.51	1404.09
02.10.2017 03:00	1012.45	1404.57
02.10.2017 04:00	1012.36	1405.48
02.10.2017 05:00	1012.45	1405.2
02.10.2017 06:00	1012.46	1407.39
02.10.2017 07:00	1012.48	1406.51
02.10.2017 08:00	1012.34	1408.67
02.10.2017 09:00	1012.21	1409.32
02.10.2017 10:00	1012.06	1407.69
02.10.2017 11:00	1011.88	1407.59
02.10.2017 12:00	1011.57	1408.22
02.10.2017 13:00	1011.38	1409.61
02.10.2017 14:00	1011.41	1408.56
02.10.2017 15:00	1011.39	1408.3
02.10.2017 16:00	1011.21	1410.55
02.10.2017 17:00	1011.1	1411.19
02.10.2017 18:00	1011.09	1412.71
02.10.2017 19:00	1011.08	1413.16
02.10.2017 20:00	1011.04	1412.49
02.10.2017 21:00	1010.96	1414.2
02.10.2017 22:00	1010.84	1413.12
02.10.2017 23:00	1010.69	1413.47
03.10.2017 00:00	1010.69	1413.98
03.10.2017 01:00	1010.58	1415.77
03.10.2017 02:00	1010.41	1416.88
03.10.2017 03:00	1010.37	1416.57
03.10.2017 04:00	1010.35	1417.52
03.10.2017 05:00	1010.16	1419.46
03.10.2017 06:00	1010	1420.79
03.10.2017 07:00	1009.84	1422.43
03.10.2017 08:00	1009.9	1422.64
03.10.2017 09:00	1009.67	1426.06
03.10.2017 10:00	1009.48	1425.3
03.10.2017 11:00	1008.96	1426.65
03.10.2017 12:00	1008.47	1426.37
03.10.2017 13:00	1007.85	1428.59
03.10.2017 14:00	1007.67	1428.71
03.10.2017 15:00	1007.35	1429.58
03.10.2017 16:00	1006.98	1430.04
03.10.2017 17:00	1006.98	1429.73
03.10.2017 18:00	1006.75	1431.48
03.10.2017 19:00	1006.57	1430.99
03.10.2017 20:00	1006.2	1431.56
03.10.2017 21:00	1005.83	1431.52
03.10.2017 22:00	1005.31	1432.74
03.10.2017 23:00	1004.88	1433.81
04.10.2017 00:00	1004.22	1435.07
04.10.2017 01:00	1003.51	1437.27
04.10.2017 02:00	1002.82	1438.41
04.10.2017 03:00	1002.2	1441.04
04.10.2017 04:00	1001.72	1443.65
04.10.2017 05:00	1001.21	1443.5
04.10.2017 06:00	1000.55	1446.66
04.10.2017 07:00	999.861	1450.98
04.10.2017 08:00	998.926	1453.25
04.10.2017 09:00	998.008	1456.09
04.10.2017 10:00	997.145	1460.64
04.10.2017 11:00	996.452	1463.41
04.10.2017 12:00	995.807	1464.99
04.10.2017 13:00	995.322	1467.98
04.10.2017 14:00	994.901	1469.37
04.10.2017 15:00	994.014	1468.94
04.10.2017 16:00	993.14	1469.92
04.10.2017 17:00	992.464	1471.34
04.10.2017 18:00	992.005	1470.92
04.10.2017 19:00	991.385	1470.56
04.10.2017 20:00	990.82	1470.91
04.10.2017 21:00	990.475	1472.44
04.10.2017 22:00	989.957	1471.45
04.10.2017 23:00	989.38	1473.28
05.10.2017 00:00	988.613	1475.65
05.10.2017 01:00	987.86	1479.95
05.10.2017 02:00	987.097	1481.34
