DatTim	Inten	Press
01.12.2017 00:00	9331	1001.5
01.12.2017 01:00	9375	1001
01.12.2017 02:00	9390	1000.5
01.12.2017 03:00	9440	1000
01.12.2017 04:00	9522	999.7
01.12.2017 05:00	9499	999.5
01.12.2017 06:00	9606	999
01.12.2017 07:00	9587	998.9
01.12.2017 08:00	9646	998.4
01.12.2017 09:00	9636	998.2
01.12.2017 10:00	9717	997.4
01.12.2017 11:00	9731	996.5
01.12.2017 12:00	9758	996.1
01.12.2017 13:00	9771	995.7
01.12.2017 14:00	9756	995
01.12.2017 15:00	9803	994.4
01.12.2017 16:00	9790	994.1
04.12.2017 11:00	11129	979.7
04.12.2017 12:00	11187	979.4
04.12.2017 13:00	11212	979.3
04.12.2017 14:00	11211	979.2
04.12.2017 15:00	11203	979.3
04.12.2017 16:00	11146	979.7
04.12.2017 17:00	11125	980.3
04.12.2017 18:00	11078	980.8
04.12.2017 19:00	11081	981.2
04.12.2017 20:00	11053	981.7
04.12.2017 21:00	10968	982.2
04.12.2017 22:00	10896	982.8
04.12.2017 23:00	10829	983.3
05.12.2017 00:00	10776	983.7
05.12.2017 01:00	10742	984.1
05.12.2017 02:00	10714	984.4
05.12.2017 03:00	10701	984.6
05.12.2017 04:00	10663	984.8
05.12.2017 05:00	10661	985.2
05.12.2017 06:00	10674	985.7
05.12.2017 07:00	10630	986.1
05.12.2017 08:00	10592	986.2
05.12.2017 09:00	10675	986.2
05.12.2017 10:00	10636	986.1
05.12.2017 11:00	10667	985.8
05.12.2017 12:00	10646	985.7
05.12.2017 13:00	10588	986.1
05.12.2017 14:00	10586	986.3
05.12.2017 15:00	10552	986.6
05.12.2017 16:00	10553	986.7
05.12.2017 17:00	10510	986.7
05.12.2017 18:00	10492	986.5
05.12.2017 19:00	10538	986.3
05.12.2017 20:00	10554	986.2
05.12.2017 21:00	10549	986
05.12.2017 22:00	10568	985.6
05.12.2017 23:00	10576	985.4
06.12.2017 00:00	10602	985.1
06.12.2017 01:00	10608	984.5
06.12.2017 02:00	10705	983.8
06.12.2017 03:00	10800	983.1
06.12.2017 04:00	10816	982.9
06.12.2017 05:00	10829	982.7
06.12.2017 06:00	10893	982.2
06.12.2017 07:00	10933	981.6
06.12.2017 08:00	11026	980.8
06.12.2017 09:00	11154	979.9
06.12.2017 10:00	11213	979.2
06.12.2017 11:00	11310	978.6
06.12.2017 12:00	11266	978.2
06.12.2017 13:00	11227	978
06.12.2017 14:00	11191	977.9
06.12.2017 15:00	11225	977.9
06.12.2017 16:00	11204	977.8
06.12.2017 17:00	11244	977.7
06.12.2017 18:00	11213	977.6
06.12.2017 19:00	11164	977.6
06.12.2017 20:00	11138	977.9
06.12.2017 21:00	11218	978.1
06.12.2017 22:00	11147	978.4
06.12.2017 23:00	11119	978.8
07.12.2017 00:00	11087	979
07.12.2017 01:00	11029	979.4
07.12.2017 02:00	10992	979.9
07.12.2017 03:00	10938	980.4
07.12.2017 04:00	10927	981
07.12.2017 05:00	10883	981.6
07.12.2017 06:00	10879	982.3
07.12.2017 07:00	10861	982.7
07.12.2017 08:00	10818	983.1
07.12.2017 09:00	10798	983.4
07.12.2017 10:00	10737	983.9
07.12.2017 11:00	10721	984.4
07.12.2017 12:00	10704	984.9
07.12.2017 13:00	10605	985.8
07.12.2017 14:00	10567	986.4
07.12.2017 15:00	10503	987
07.12.2017 16:00	10441	987.4
07.12.2017 17:00	10338	987.8
07.12.2017 18:00	10357	988.3
07.12.2017 19:00	10297	988.6
07.12.2017 20:00	10285	988.9
07.12.2017 21:00	10241	989.2
07.12.2017 22:00	10271	989.5
07.12.2017 23:00	10209	989.8
08.12.2017 00:00	10222	989.9
08.12.2017 01:00	10183	990
08.12.2017 02:00	10210	989.9
08.12.2017 03:00	10205	989.9
08.12.2017 04:00	10205	990.1
08.12.2017 05:00	10216	990.2
08.12.2017 06:00	10282	990.1
08.12.2017 07:00	10281	990.1
08.12.2017 08:00	10271	990.3
08.12.2017 09:00	10271	989.8
08.12.2017 10:00	10346	989.3
08.12.2017 11:00	10296	989.2
08.12.2017 12:00	10330	988.9
08.12.2017 13:00	10345	988.5
08.12.2017 14:00	10333	988.3
08.12.2017 15:00	10342	987.9
08.12.2017 16:00	10374	987.7
08.12.2017 17:00	10358	987.7
08.12.2017 18:00	10329	987.9
08.12.2017 19:00	10359	987.7
08.12.2017 20:00	10365	987.6
08.12.2017 21:00	10321	987.5
08.12.2017 22:00	10398	987.3
08.12.2017 23:00	10360	987.2
09.12.2017 00:00	10369	987.3
09.12.2017 01:00	10457	987
09.12.2017 02:00	10447	986.8
09.12.2017 03:00	10472	986.9
09.12.2017 04:00	10430	987.2
09.12.2017 05:00	10461	987.5
09.12.2017 06:00	10511	987.7
09.12.2017 07:00	10409	988.1
09.12.2017 08:00	10429	988.1
09.12.2017 09:00	10473	988
09.12.2017 10:00	10436	988.2
09.12.2017 11:00	10432	988.4
09.12.2017 12:00	10348	988.8
09.12.2017 13:00	10273	989.2
09.12.2017 14:00	10283	989.4
09.12.2017 15:00	10295	989.5
09.12.2017 16:00	10242	989.4
09.12.2017 17:00	10263	989.4
09.12.2017 18:00	10272	989.3
09.12.2017 19:00	10257	989.4
09.12.2017 20:00	10241	989.6
09.12.2017 21:00	10230	989.8
09.12.2017 22:00	10286	989.6
09.12.2017 23:00	10266	989.5
10.12.2017 00:00	10293	989.5
10.12.2017 01:00	10340	989.1
10.12.2017 02:00	10362	988.6
10.12.2017 03:00	10423	988.3
