DatTim	Press	NevCT1
01.08.2017 00:00	995.071	1459.5
01.08.2017 01:00	995.379	1459.48
01.08.2017 02:00	995.315	1462.01
01.08.2017 03:00	995.754	1460.62
01.08.2017 04:00	995.792	1460.03
01.08.2017 05:00	995.622	1462.26
01.08.2017 06:00	996.014	1459.67
01.08.2017 07:00	996.302	1457.21
01.08.2017 08:00	996.43	1454.44
01.08.2017 09:00	996.679	1451.49
01.08.2017 10:00	997.025	1449.05
01.08.2017 11:00	997.188	1448.6
01.08.2017 12:00	997.322	1446.94
01.08.2017 13:00	997.642	1448.92
01.08.2017 14:00	997.896	1446.61
01.08.2017 15:00	998.315	1449.57
01.08.2017 16:00	998.656	1447.32
01.08.2017 17:00	999.136	1445.86
01.08.2017 18:00	999.443	1446.27
01.08.2017 19:00	999.67	1445.46
01.08.2017 20:00	999.891	1443.73
01.08.2017 21:00	1000.09	1442.95
01.08.2017 22:00	1000.3	1441.5
01.08.2017 23:00	1000.67	1438.49
02.08.2017 00:00	1000.85	1440.43
02.08.2017 01:00	1000.9	1441.28
02.08.2017 02:00	1001.14	1442.38
02.08.2017 03:00	1001.2	1442.7
02.08.2017 04:00	1001.02	1445.84
02.08.2017 05:00	1001.26	1446.39
02.08.2017 06:00	1000.86	1446.23
02.08.2017 07:00	1000.98	1447.28
02.08.2017 08:00	1000.8	1448.83
02.08.2017 09:00	1000.06	1449.35
02.08.2017 10:00	999.499	1450.25
02.08.2017 11:00	999.151	1448.37
02.08.2017 12:00	998.41	1448.99
02.08.2017 13:00	997.51	1451.43
02.08.2017 14:00	996.448	1453.35
02.08.2017 15:00	996.228	1453.22
02.08.2017 16:00	995.44	1455.64
02.08.2017 17:00	995.056	1455.86
02.08.2017 18:00	994.27	1457.08
02.08.2017 19:00	993.973	1457.76
02.08.2017 20:00	993.459	1461.6
02.08.2017 21:00	993.802	1461.53
02.08.2017 22:00	992.981	1463.6
02.08.2017 23:00	992.216	1467.94
03.08.2017 00:00	992.271	1466.06
03.08.2017 01:00	991.956	1469.94
03.08.2017 02:00	991.986	1469.77
03.08.2017 03:00	992.348	1471.19
03.08.2017 04:00	992.217	1472.34
03.08.2017 05:00	992.366	1473.23
03.08.2017 06:00	992.505	1474.54
03.08.2017 07:00	992.78	1473.56
03.08.2017 08:00	992.597	1473.61
03.08.2017 09:00	992.466	1474.03
03.08.2017 10:00	992.353	1472.06
03.08.2017 11:00	992.334	1469.8
03.08.2017 12:00	992.114	1468.88
03.08.2017 13:00	991.481	1469.37
03.08.2017 14:00	991.354	1468.37
03.08.2017 15:00	991.25	1468.58
03.08.2017 16:00	991.347	1466.31
03.08.2017 17:00	991.732	1464.9
03.08.2017 18:00	992.005	1464.46
03.08.2017 19:00	992.011	1464.1
03.08.2017 20:00	992.179	1462.7
03.08.2017 21:00	992.205	1463.08
03.08.2017 22:00	992.246	1466.11
03.08.2017 23:00	992.167	1465.98
04.08.2017 00:00	991.995	1467.42
04.08.2017 01:00	991.604	1466.71
04.08.2017 02:00	991.358	1468.69
04.08.2017 03:00	991.283	1468.99
04.08.2017 04:00	991.243	1468.25
04.08.2017 05:00	991.324	1469.01
04.08.2017 06:00	991.094	1468.14
04.08.2017 07:00	990.438	1469.78
04.08.2017 08:00	990.125	1470.59
04.08.2017 09:00	989.588	1471.04
04.08.2017 10:00	989.46	1471.4
04.08.2017 11:00	988.77	1474.03
04.08.2017 12:00	988.015	1475.21
04.08.2017 13:00	987.327	1476.2
04.08.2017 14:00	986.653	1477.05
04.08.2017 15:00	986.399	1474.81
04.08.2017 16:00	986.102	1477.9
04.08.2017 17:00	986.143	1477.01
04.08.2017 18:00	985.82	1479.44
04.08.2017 19:00	985.527	1479.85
04.08.2017 20:00	985.089	1482.38
04.08.2017 21:00	984.862	1480.62
04.08.2017 22:00	984.684	1481.11
04.08.2017 23:00	984.775	1481.79
05.08.2017 00:00	984.687	1482.6
05.08.2017 01:00	984.969	1481.02
05.08.2017 02:00	985.472	1481.41
05.08.2017 03:00	985.903	1482.47
05.08.2017 04:00	986.268	1478.96
05.08.2017 05:00	986.368	1483.58
05.08.2017 06:00	986.532	1483.96
05.08.2017 07:00	986.926	1481.04
05.08.2017 08:00	987.129	1484.58
05.08.2017 09:00	987.085	1485.93
05.08.2017 10:00	987.155	1483.82
05.08.2017 11:00	987.079	1483.27
05.08.2017 12:00	987.543	1479.01
05.08.2017 13:00	987.302	1477.92
05.08.2017 14:00	987.174	1475.91
05.08.2017 15:00	987.398	1475.94
05.08.2017 16:00	987.83	1473.48
05.08.2017 17:00	988.271	1471.15
05.08.2017 18:00	988.734	1470.94
05.08.2017 19:00	989.359	1469.25
05.08.2017 20:00	989.712	1468.88
05.08.2017 21:00	990.028	1467.55
05.08.2017 22:00	990.438	1467.08
05.08.2017 23:00	991.02	1466.87
06.08.2017 00:00	991.362	1464.41
06.08.2017 01:00	991.63	1464.15
06.08.2017 02:00	992.114	1463.51
06.08.2017 03:00	992.588	1462.18
06.08.2017 04:00	993.081	1461.56
06.08.2017 05:00	993.41	1461.03
06.08.2017 06:00	993.553	1463.81
06.08.2017 07:00	993.835	1464.52
06.08.2017 08:00	994.22	1466
06.08.2017 11:00	994.831	1462.85
06.08.2017 12:00	995.114	1461.6
06.08.2017 13:00	995.339	1459.6
06.08.2017 14:00	995.384	1457.97
06.08.2017 15:00	995.483	1458.27
06.08.2017 16:00	995.519	1458.32
06.08.2017 17:00	995.503	1457.75
06.08.2017 18:00	995.554	1458.58
06.08.2017 19:00	995.629	1458.43
06.08.2017 20:00	995.532	1458.33
06.08.2017 21:00	995.466	1457.56
06.08.2017 22:00	995.199	1458.3
06.08.2017 23:00	995.202	1458.78
07.08.2017 00:00	995.525	1458.79
07.08.2017 01:00	994.724	1460.08
07.08.2017 02:00	994.771	1460.83
07.08.2017 03:00	994.795	1460.3
07.08.2017 04:00	994.913	1460.95
07.08.2017 05:00	995.037	1460.03
07.08.2017 06:00	995.331	1459.46
07.08.2017 07:00	995.479	1458.6
07.08.2017 08:00	995.609	1458.25
07.08.2017 10:00	995.806	1458.4
07.08.2017 11:00	995.963	1459.41
07.08.2017 12:00	996.131	1458.79
07.08.2017 13:00	996.391	1457.47
07.08.2017 14:00	996.496	1455.03
07.08.2017 15:00	996.596	1454.98
07.08.2017 16:00	996.832	1453.43
07.08.2017 17:00	997.185	1452.43
07.08.2017 18:00	997.414	1453.23
07.08.2017 19:00	997.685	1452.89
07.08.2017 20:00	998.275	1452.44
07.08.2017 21:00	998.545	1452.31
07.08.2017 22:00	998.845	1451.34
07.08.2017 23:00	999.071	1451.35
08.08.2017 00:00	999.065	1449.96
08.08.2017 01:00	999.077	1449.83
08.08.2017 02:00	999.531	1448.09
08.08.2017 03:00	999.888	1446.7
08.08.2017 04:00	1000.09	1447.35
08.08.2017 05:00	1000.19	1445.65
08.08.2017 06:00	1000.36	1447.67
08.08.2017 07:00	1000.71	1445.91
08.08.2017 08:00	1000.77	1446.69
08.08.2017 09:00	1000.83	1447.1
08.08.2017 11:00	1000.99	1446.73
08.08.2017 12:00	1001.13	1446.4
08.08.2017 13:00	1001.45	1443.51
08.08.2017 14:00	1001.77	1441.25
08.08.2017 15:00	1001.92	1439.46
08.08.2017 16:00	1002.22	1439.07
08.08.2017 17:00	1002.69	1438.53
08.08.2017 18:00	1003.26	1437.2
08.08.2017 19:00	1003.72	1436.54
08.08.2017 20:00	1004.18	1434.28
08.08.2017 21:00	1004.58	1431.09
08.08.2017 22:00	1004.83	1431.34
08.08.2017 23:00	1005.17	1429.82
09.08.2017 00:00	1005.55	1429.68
09.08.2017 01:00	1005.96	1430.08
09.08.2017 02:00	1006.36	1428.26
09.08.2017 03:00	1006.62	1427.73
09.08.2017 04:00	1006.94	1425.15
09.08.2017 05:00	1007.13	1426.8
09.08.2017 06:00	1007.28	1428.7
09.08.2017 07:00	1007.34	1429.88
09.08.2017 08:00	1007.36	1432.65
09.08.2017 09:00	1007.29	1433.41
09.08.2017 10:00	1007.29	1433.72
09.08.2017 11:00	1006.95	1434.75
09.08.2017 12:00	1006.74	1435.85
09.08.2017 13:00	1006.47	1434.31
09.08.2017 14:00	1006.34	1433.41
09.08.2017 15:00	1006.22	1431.76
09.08.2017 16:00	1006.11	1430.12
09.08.2017 17:00	1006.24	1429.14
09.08.2017 18:00	1006.55	1428.09
09.08.2017 19:00	1006.78	1427.9
09.08.2017 20:00	1006.9	1428.48
09.08.2017 21:00	1006.94	1427.07
09.08.2017 22:00	1007.18	1426.48
09.08.2017 23:00	1007.3	1426.94
10.08.2017 00:00	1007.34	1427.2
10.08.2017 01:00	1007.27	1427.92
10.08.2017 02:00	1007.42	1429.2
10.08.2017 03:00	1007.46	1429.15
10.08.2017 04:00	1007.29	1428.54
10.08.2017 05:00	1006.85	1432.03
10.08.2017 06:00	1006.57	1432.72
10.08.2017 07:00	1006.19	1436.35
10.08.2017 08:00	1005.58	1440.29
10.08.2017 09:00	1004.9	1444.37
10.08.2017 10:00	1004.35	1448.92
10.08.2017 11:00	1004.23	1448.03
10.08.2017 12:00	1003.47	1449.5
10.08.2017 13:00	1002.96	1448.45
10.08.2017 14:00	1002.39	1447.68
10.08.2017 15:00	1001.58	1447.82
10.08.2017 16:00	1000.95	1451.01
10.08.2017 17:00	1000.29	1450.05
10.08.2017 18:00	1000.69	1449.9
10.08.2017 19:00	1000.46	1449.84
10.08.2017 20:00	1000.06	1450.11
10.08.2017 21:00	1000.18	1447.56
10.08.2017 22:00	999.806	1447.88
10.08.2017 23:00	999.453	1450.76
11.08.2017 00:00	998.884	1454.52
11.08.2017 01:00	998.207	1455.4
11.08.2017 02:00	997.548	1454.61
11.08.2017 03:00	997.255	1455.2
11.08.2017 04:00	996.861	1456.46
11.08.2017 05:00	996.615	1457.49
