DatTim	Press	NevCT3
01.08.2017 00:00	995.071	1369.09
01.08.2017 01:00	995.379	1368.76
01.08.2017 02:00	995.315	1369.8
01.08.2017 03:00	995.754	1369.15
01.08.2017 04:00	995.792	1369.21
01.08.2017 05:00	995.622	1372.24
01.08.2017 06:00	996.014	1370.03
01.08.2017 07:00	996.302	1367.67
01.08.2017 08:00	996.43	1363.74
01.08.2017 09:00	996.679	1361.18
01.08.2017 10:00	997.025	1358.24
01.08.2017 11:00	997.188	1358.59
01.08.2017 12:00	997.322	1357.71
01.08.2017 13:00	997.642	1359.01
01.08.2017 14:00	997.896	1357.79
01.08.2017 15:00	998.315	1359.07
01.08.2017 16:00	998.656	1357.26
01.08.2017 17:00	999.136	1356.76
01.08.2017 18:00	999.443	1357.25
01.08.2017 19:00	999.67	1355.65
01.08.2017 20:00	999.891	1353.78
01.08.2017 21:00	1000.09	1352.94
01.08.2017 22:00	1000.3	1351.17
01.08.2017 23:00	1000.67	1350.3
02.08.2017 00:00	1000.85	1349.24
02.08.2017 01:00	1000.9	1352.15
02.08.2017 02:00	1001.14	1353.51
02.08.2017 03:00	1001.2	1355.87
02.08.2017 04:00	1001.02	1356.67
02.08.2017 05:00	1001.26	1356.97
02.08.2017 06:00	1000.86	1358.5
02.08.2017 07:00	1000.98	1358.08
02.08.2017 08:00	1000.8	1358.85
02.08.2017 09:00	1000.06	1359.08
02.08.2017 10:00	999.499	1359.47
02.08.2017 11:00	999.151	1360
02.08.2017 12:00	998.41	1359.72
02.08.2017 13:00	997.51	1361.08
02.08.2017 14:00	996.448	1363.64
02.08.2017 15:00	996.228	1363.29
02.08.2017 16:00	995.44	1366.18
02.08.2017 17:00	995.056	1366.36
02.08.2017 18:00	994.27	1367.86
02.08.2017 19:00	993.973	1368.14
02.08.2017 20:00	993.459	1370.79
02.08.2017 21:00	993.802	1371.56
02.08.2017 22:00	992.981	1372.02
02.08.2017 23:00	992.216	1375.16
03.08.2017 00:00	992.271	1377.59
03.08.2017 01:00	991.956	1377.65
03.08.2017 02:00	991.986	1378.96
03.08.2017 03:00	992.348	1378.75
03.08.2017 04:00	992.217	1381
03.08.2017 05:00	992.366	1383.56
03.08.2017 06:00	992.505	1383.22
03.08.2017 07:00	992.78	1383.45
03.08.2017 08:00	992.597	1382.35
03.08.2017 09:00	992.466	1383.16
03.08.2017 10:00	992.353	1381.64
03.08.2017 11:00	992.334	1378.57
03.08.2017 12:00	992.114	1377.12
03.08.2017 13:00	991.481	1377.33
03.08.2017 14:00	991.354	1378.07
03.08.2017 15:00	991.25	1377.19
03.08.2017 16:00	991.347	1376.87
03.08.2017 17:00	991.732	1374.76
03.08.2017 18:00	992.005	1373.36
03.08.2017 19:00	992.011	1374.69
03.08.2017 20:00	992.179	1373.18
03.08.2017 21:00	992.205	1374.53
03.08.2017 22:00	992.246	1376.06
03.08.2017 23:00	992.167	1374.7
04.08.2017 00:00	991.995	1375.47
04.08.2017 01:00	991.604	1375.98
04.08.2017 02:00	991.358	1377.65
04.08.2017 03:00	991.283	1377.39
04.08.2017 04:00	991.243	1378.83
04.08.2017 05:00	991.324	1376.32
04.08.2017 06:00	991.094	1378.25
04.08.2017 07:00	990.438	1378.29
04.08.2017 08:00	990.125	1379.37
04.08.2017 09:00	989.588	1380.6
04.08.2017 10:00	989.46	1381.76
04.08.2017 11:00	988.77	1382.56
04.08.2017 12:00	988.015	1384.28
04.08.2017 13:00	987.327	1384.04
04.08.2017 14:00	986.653	1385.1
04.08.2017 15:00	986.399	1384.34
04.08.2017 16:00	986.102	1385.7
04.08.2017 17:00	986.143	1385.73
04.08.2017 18:00	985.82	1387.92
04.08.2017 19:00	985.527	1387.88
04.08.2017 20:00	985.089	1389.63
04.08.2017 21:00	984.862	1386.76
04.08.2017 22:00	984.684	1389.13
04.08.2017 23:00	984.775	1390.2
05.08.2017 00:00	984.687	1389.63
05.08.2017 01:00	984.969	1389.95
05.08.2017 02:00	985.472	1388.91
05.08.2017 03:00	985.903	1388.9
05.08.2017 04:00	986.268	1389.63
05.08.2017 05:00	986.368	1391.6
05.08.2017 06:00	986.532	1390.24
05.08.2017 07:00	986.926	1389.23
05.08.2017 08:00	987.129	1391.62
05.08.2017 09:00	987.085	1391.52
05.08.2017 10:00	987.155	1393.67
05.08.2017 11:00	987.079	1391.29
05.08.2017 12:00	987.543	1386.62
05.08.2017 13:00	987.302	1385.97
05.08.2017 14:00	987.174	1385.09
05.08.2017 15:00	987.398	1384.08
05.08.2017 16:00	987.83	1382.32
05.08.2017 17:00	988.271	1380.23
05.08.2017 18:00	988.734	1379.85
05.08.2017 19:00	989.359	1379.21
05.08.2017 20:00	989.712	1377.7
05.08.2017 21:00	990.028	1375.99
05.08.2017 22:00	990.438	1376.19
05.08.2017 23:00	991.02	1373.33
06.08.2017 00:00	991.362	1373.09
06.08.2017 01:00	991.63	1372.14
06.08.2017 02:00	992.114	1372.66
06.08.2017 03:00	992.588	1372.03
06.08.2017 04:00	993.081	1370.17
06.08.2017 05:00	993.41	1371.19
06.08.2017 06:00	993.553	1374.03
06.08.2017 07:00	993.835	1373.95
06.08.2017 08:00	994.22	1374.73
06.08.2017 11:00	994.831	1372.5
06.08.2017 12:00	995.114	1369.76
06.08.2017 13:00	995.339	1367.74
06.08.2017 14:00	995.384	1367.56
06.08.2017 15:00	995.483	1365.91
06.08.2017 16:00	995.519	1366.86
06.08.2017 17:00	995.503	1367
06.08.2017 18:00	995.554	1368.12
06.08.2017 19:00	995.629	1366.61
06.08.2017 20:00	995.532	1365.26
06.08.2017 21:00	995.466	1366.43
06.08.2017 22:00	995.199	1368.13
06.08.2017 23:00	995.202	1366.9
07.08.2017 00:00	995.525	1368.26
07.08.2017 01:00	994.724	1369.56
07.08.2017 02:00	994.771	1370.92
07.08.2017 03:00	994.795	1371.03
07.08.2017 04:00	994.913	1371.29
07.08.2017 05:00	995.037	1372.01
07.08.2017 06:00	995.331	1368.79
07.08.2017 07:00	995.479	1369.63
07.08.2017 08:00	995.609	1369.46
07.08.2017 10:00	995.806	1370.18
07.08.2017 11:00	995.963	1368.82
07.08.2017 12:00	996.131	1368.99
