DatTim	Press	NevCT4
01.10.2017 00:00	1008.89	1345.97
01.10.2017 01:00	1009.08	1344.81
01.10.2017 02:00	1009.47	1342.73
01.10.2017 03:00	1009.85	1342.17
01.10.2017 04:00	1010.23	1340.85
01.10.2017 05:00	1010.5	1339.07
01.10.2017 06:00	1010.87	1339.24
01.10.2017 07:00	1011.22	1337.19
01.10.2017 08:00	1011.32	1337.47
01.10.2017 09:00	1011.47	1336.55
01.10.2017 10:00	1011.56	1335.58
01.10.2017 11:00	1011.55	1334.13
01.10.2017 12:00	1011.71	1334.15
01.10.2017 13:00	1011.83	1333.79
01.10.2017 14:00	1012.05	1331.95
01.10.2017 15:00	1012.23	1332.57
01.10.2017 16:00	1012.32	1332.39
01.10.2017 17:00	1012.39	1330.99
01.10.2017 18:00	1012.31	1331.26
01.10.2017 19:00	1012.36	1330.98
01.10.2017 20:00	1012.53	1330.76
01.10.2017 21:00	1012.51	1331.03
01.10.2017 22:00	1012.69	1329.1
01.10.2017 23:00	1012.77	1328.42
02.10.2017 00:00	1012.73	1327.4
02.10.2017 01:00	1012.59	1327.81
02.10.2017 02:00	1012.51	1328.69
02.10.2017 03:00	1012.45	1329.21
02.10.2017 04:00	1012.36	1328.72
02.10.2017 05:00	1012.45	1329.49
02.10.2017 06:00	1012.46	1330.6
02.10.2017 07:00	1012.48	1331.4
02.10.2017 08:00	1012.34	1333.25
02.10.2017 09:00	1012.21	1334.23
02.10.2017 10:00	1012.06	1332.42
02.10.2017 11:00	1011.88	1331.91
02.10.2017 12:00	1011.57	1332.17
02.10.2017 13:00	1011.38	1333.16
02.10.2017 14:00	1011.41	1333.18
02.10.2017 15:00	1011.39	1333.07
02.10.2017 16:00	1011.21	1334.73
02.10.2017 17:00	1011.1	1334.88
02.10.2017 18:00	1011.09	1336.97
02.10.2017 19:00	1011.08	1337.61
02.10.2017 20:00	1011.04	1337.09
02.10.2017 21:00	1010.96	1337.57
02.10.2017 22:00	1010.84	1337.39
02.10.2017 23:00	1010.69	1336.93
03.10.2017 00:00	1010.69	1339.32
03.10.2017 01:00	1010.58	1339.63
03.10.2017 02:00	1010.41	1341.87
03.10.2017 03:00	1010.37	1341.09
03.10.2017 04:00	1010.35	1340.45
03.10.2017 05:00	1010.16	1343.06
03.10.2017 06:00	1010	1344.37
03.10.2017 07:00	1009.84	1345.74
03.10.2017 08:00	1009.9	1346.27
03.10.2017 09:00	1009.67	1347.79
03.10.2017 10:00	1009.48	1346.96
03.10.2017 11:00	1008.96	1349.76
03.10.2017 12:00	1008.47	1349.85
03.10.2017 13:00	1007.85	1349.74
03.10.2017 14:00	1007.67	1351.51
03.10.2017 15:00	1007.35	1352.01
03.10.2017 16:00	1006.98	1352.26
03.10.2017 17:00	1006.98	1353.15
03.10.2017 18:00	1006.75	1353.22
03.10.2017 19:00	1006.57	1353.64
03.10.2017 20:00	1006.2	1354.19
03.10.2017 21:00	1005.83	1354.27
03.10.2017 22:00	1005.31	1355.21
03.10.2017 23:00	1004.88	1356.37
04.10.2017 00:00	1004.22	1358.02
04.10.2017 01:00	1003.51	1360.82
04.10.2017 02:00	1002.82	1362.43
04.10.2017 03:00	1002.2	1362.96
