DatTim	Press	NevCT3
06.10.2017 15:00	973.72	1428.21
06.10.2017 16:00	974.63	1423.83
06.10.2017 17:00	975.494	1420.82
06.10.2017 18:00	976.446	1417.47
06.10.2017 19:00	977.398	1414.91
06.10.2017 20:00	978.582	1410.69
06.10.2017 21:00	979.349	1407.37
06.10.2017 22:00	980.155	1406.14
06.10.2017 23:00	980.744	1401.5
07.10.2017 00:00	981.165	1398.15
07.10.2017 01:00	981.721	1398.36
07.10.2017 02:00	982.426	1396.68
07.10.2017 03:00	982.96	1395.23
07.10.2017 04:00	983.64	1394.16
07.10.2017 05:00	984.337	1396.04
07.10.2017 06:00	985	1399.56
07.10.2017 07:00	985.607	1401
07.10.2017 08:00	986.191	1400.87
07.10.2017 09:00	986.847	1399.15
07.10.2017 10:00	987.36	1399.16
07.10.2017 11:00	987.925	1396.33
07.10.2017 12:00	988.529	1393.08
07.10.2017 13:00	989.233	1389.84
07.10.2017 14:00	990.03	1386.06
07.10.2017 15:00	990.815	1383.39
07.10.2017 16:00	991.341	1380.06
07.10.2017 17:00	991.891	1377.14
07.10.2017 18:00	992.566	1374.59
07.10.2017 19:00	992.925	1373.25
07.10.2017 20:00	993.22	1370.06
07.10.2017 21:00	993.746	1367.66
07.10.2017 22:00	994.097	1363.17
07.10.2017 23:00	994.386	1361.26
08.10.2017 00:00	994.58	1358.94
08.10.2017 01:00	995.002	1360.83
08.10.2017 02:00	995.452	1358.67
08.10.2017 03:00	995.923	1359.02
08.10.2017 04:00	996.306	1358.93
08.10.2017 05:00	996.624	1360.56
08.10.2017 06:00	996.95	1361.98
08.10.2017 07:00	997.359	1364.53
08.10.2017 08:00	997.652	1366.61
08.10.2017 09:00	997.606	1369.17
08.10.2017 10:00	997.497	1371.46
08.10.2017 11:00	997.454	1371.49
08.10.2017 12:00	997.233	1369.29
08.10.2017 13:00	996.923	1368.92
08.10.2017 14:00	996.721	1367.86
08.10.2017 15:00	996.685	1365.19
08.10.2017 16:00	996.659	1365.39
08.10.2017 17:00	996.244	1366.96
08.10.2017 18:00	996.06	1366.15
08.10.2017 19:00	995.925	1366.21
08.10.2017 20:00	995.682	1363.99
08.10.2017 21:00	995.183	1365.04
08.10.2017 22:00	994.459	1365.98
08.10.2017 23:00	993.676	1366.51
09.10.2017 00:00	992.9	1369.35
09.10.2017 01:00	992.171	1372.74
09.10.2017 02:00	991.029	1377
