DatTim	Inten	Press
01.08.2017 00:00	9849	993.5
01.08.2017 01:00	9843	993.7
01.08.2017 02:00	9768	993.7
01.08.2017 03:00	9778	994.2
01.08.2017 04:00	9784	994.1
01.08.2017 05:00	9797	994.1
01.08.2017 06:00	9762	994.5
01.08.2017 07:00	9709	994.8
01.08.2017 08:00	9638	995
01.08.2017 09:00	9613	995.4
01.08.2017 10:00	9583	995.7
01.08.2017 11:00	9558	995.8
01.08.2017 12:00	9549	996
01.08.2017 13:00	9575	996.2
01.08.2017 14:00	9549	996.5
01.08.2017 15:00	9495	996.9
01.08.2017 16:00	9491	997.2
01.08.2017 17:00	9437	997.6
01.08.2017 18:00	9457	998
01.08.2017 19:00	9389	998.2
01.08.2017 20:00	9360	998.3
01.08.2017 21:00	9393	998.6
01.08.2017 22:00	9325	998.7
01.08.2017 23:00	9314	999.1
02.08.2017 00:00	9313	999.2
02.08.2017 01:00	9314	999.3
02.08.2017 02:00	9289	999.5
02.08.2017 03:00	9306	999.6
02.08.2017 04:00	9305	999.4
02.08.2017 05:00	9348	999.6
02.08.2017 06:00	9389	999.1
02.08.2017 07:00	9391	999.2
02.08.2017 08:00	9397	999
02.08.2017 09:00	9464	998.3
02.08.2017 10:00	9484	997.7
02.08.2017 11:00	9483	997.3
02.08.2017 12:00	9546	996.5
02.08.2017 13:00	9620	995.7
02.08.2017 14:00	9678	994.7
02.08.2017 15:00	9690	994.4
02.08.2017 16:00	9761	993.6
02.08.2017 17:00	9778	993.2
02.08.2017 18:00	9812	992.6
02.08.2017 19:00	9779	992.3
02.08.2017 20:00	9852	991.7
02.08.2017 21:00	9805	992.3
02.08.2017 22:00	9874	991.4
02.08.2017 23:00	9934	990.6
03.08.2017 00:00	9949	990.8
03.08.2017 01:00	9991	990.1
03.08.2017 02:00	9966	990.5
03.08.2017 03:00	9958	990.7
03.08.2017 04:00	9992	990.6
03.08.2017 05:00	10009	990.7
03.08.2017 06:00	10050	991
03.08.2017 07:00	10042	991.2
03.08.2017 08:00	10059	991
03.08.2017 09:00	10064	990.8
03.08.2017 10:00	10025	990.8
03.08.2017 11:00	10080	990.7
03.08.2017 12:00	10052	990.3
06.08.2017 17:00	9860	993.6
06.08.2017 18:00	9829	993.7
06.08.2017 19:00	9841	993.7
06.08.2017 20:00	9807	993.7
06.08.2017 21:00	9805	993.6
06.08.2017 22:00	9884	993.3
06.08.2017 23:00	9839	993.4
07.08.2017 00:00	9818	993.6
07.08.2017 01:00	9897	992.7
07.08.2017 02:00	9949	992.7
07.08.2017 03:00	9887	992.9
07.08.2017 04:00	9856	993.2
07.08.2017 05:00	9836	993.4
07.08.2017 06:00	9835	993.6
07.08.2017 07:00	9822	993.7
07.08.2017 08:00	9833	993.9
07.08.2017 09:00	9882	993.9
07.08.2017 10:00	9835	994.1
07.08.2017 11:00	9892	994.2
07.08.2017 12:00	9858	994.4
07.08.2017 13:00	9829	994.8
07.08.2017 14:00	9808	994.8
07.08.2017 15:00	9826	994.8
07.08.2017 16:00	9833	995
07.08.2017 17:00	9802	995.4
07.08.2017 18:00	9763	995.6
07.08.2017 19:00	9739	995.9
07.08.2017 20:00	9730	996.4
07.08.2017 21:00	9722	996.8
07.08.2017 22:00	9666	997.1
07.08.2017 23:00	9671	997.2
08.08.2017 00:00	9671	997.2
08.08.2017 01:00	9688	997.2
08.08.2017 02:00	9598	997.7
08.08.2017 03:00	9601	998.1
08.08.2017 04:00	9566	998.3
08.08.2017 05:00	9563	998.4
08.08.2017 06:00	9536	998.7
08.08.2017 07:00	9530	999
08.08.2017 08:00	9539	999
08.08.2017 09:00	9521	999.1
08.08.2017 10:00	9587	999.1
08.08.2017 11:00	9533	999.2
08.08.2017 12:00	9491	999.2
